ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance_km,driver_age_group,driver_rating_bin,DistanceCategory
0xcb5b,LUDHRES16DEL01,33.0,4.4,30.895817,75.813112,30.905817,75.823112,,,,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,24,1.465185811091463,25-34,3.6–4.5,01-02 km
0xca06,LUDHRES06DEL01,33.0,4.6,30.895204,75.822103,30.905204,75.832103,,,,Windy,Low,1,Drinks,scooter,1.0,No,Metropolitian,23,1.4651897895461057,25-34,>4.5,01-02 km
0xc31a,LUDHRES06DEL01,31.0,4.9,30.895204,75.822103,30.905204,75.832103,,,,Fog,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,17,1.4651897895461057,25-34,>4.5,01-02 km
0xce15,LUDHRES17DEL01,20.0,4.4,30.893384,75.821202,30.903384,75.831202,,,,Windy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,26,1.4652016012563978,<25,3.6–4.5,01-02 km
0xd08a,LUDHRES17DEL01,27.0,4.7,30.893384,75.821202,30.903384,75.831202,,,,Stormy,Low,1,Meal,motorcycle,1.0,No,Urban,17,1.4652016012563978,25-34,>4.5,01-02 km
0xc8d2,LUDHRES12DEL01,33.0,5.0,30.893244,75.821817,30.903244,75.831817,,,,Stormy,High,2,Buffet,scooter,0.0,No,Metropolitian,32,1.465202509828137,25-34,>4.5,01-02 km
0xc8cf,LUDHRES13DEL01,20.0,5.0,30.893234,75.82172,30.903234,75.83172,2022-11-02,,,Sunny,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,23,1.4652025747268527,<25,>4.5,01-02 km
0xdf4d,LUDHRES13DEL01,33.0,4.2,30.893234,75.82172,30.903234,75.83172,,,,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,31,1.4652025747268527,25-34,3.6–4.5,01-02 km
0xd225,LUDHRES13DEL01,25.0,4.6,30.893234,75.82172,30.903234,75.83172,,,,Stormy,Low,1,Snack,scooter,0.0,No,Metropolitian,12,1.4652025747268527,<25,>4.5,01-02 km
0xd805,LUDHRES11DEL01,36.0,4.6,30.893081,75.821495,30.903081,75.831495,,,,Sunny,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,25,1.465203567663234,35-44,>4.5,01-02 km
0xc1ca,LUDHRES11DEL01,27.0,4.8,30.893081,75.821495,30.903081,75.831495,2022-11-02,,,Fog,Low,1,Buffet,scooter,0.0,No,Metropolitian,17,1.465203567663234,25-34,>4.5,01-02 km
0xd0af,LUDHRES11DEL01,38.0,5.0,30.893081,75.821495,30.903081,75.831495,,,,Cloudy,Low,0,Meal,motorcycle,0.0,No,Urban,22,1.465203567663234,35-44,>4.5,01-02 km
0xd5d4,LUDHRES14DEL01,37.0,4.9,30.892978,75.821847,30.902978,75.831847,,,,Windy,High,2,Buffet,electric_scooter,0.0,No,Urban,25,1.465204236107831,35-44,>4.5,01-02 km
0xc548,LUDHRES14DEL01,21.0,4.7,30.892978,75.821847,30.902978,75.831847,2022-11-02,,,Sunny,Low,1,Meal,scooter,1.0,No,Urban,22,1.465204236107831,<25,>4.5,01-02 km
0xe186,LUDHRES010DEL01,36.0,4.7,30.89286,75.822199,30.90286,75.832199,,,,Stormy,High,1,Drinks,motorcycle,1.0,No,Metropolitian,30,1.4652050018990022,35-44,>4.5,01-02 km
0xdd6f,LUDHRES010DEL01,39.0,4.2,30.89286,75.822199,30.90286,75.832199,,,,Stormy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,25,1.4652050018990022,35-44,3.6–4.5,01-02 km
0xcff5,LUDHRES010DEL01,27.0,4.6,30.89286,75.822199,30.90286,75.832199,,,,Cloudy,Low,1,Meal,scooter,1.0,No,Urban,10,1.4652050018990022,25-34,>4.5,01-02 km
0xd532,LUDHRES18DEL01,28.0,4.8,30.890184,75.829615,30.900184,75.839615,,,,Sunny,Low,2,Drinks,scooter,1.0,No,Metropolitian,15,1.4652223678913632,25-34,>4.5,01-02 km
0xdd45,LUDHRES18DEL01,31.0,4.2,30.890184,75.829615,30.900184,75.839615,,,,Sandstorms,High,0,Meal,motorcycle,2.0,No,Metropolitian,33,1.4652223678913632,25-34,3.6–4.5,01-02 km
0xc990,LUDHRES18DEL01,24.0,4.4,30.890184,75.829615,30.900184,75.839615,2022-11-02,,,Windy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,27,1.4652223678913632,<25,3.6–4.5,01-02 km
0xd445,LUDHRES18DEL01,23.0,4.8,30.890184,75.829615,30.900184,75.839615,,,,Sunny,Low,1,Snack,scooter,0.0,No,Urban,23,1.4652223678913632,<25,>4.5,01-02 km
0xcc3d,LUDHRES03DEL01,27.0,4.9,30.88722,75.804893,30.89722,75.814893,2022-11-02,,,Windy,Low,2,Meal,motorcycle,0.0,No,Metropolitian,12,1.4652416016159377,25-34,>4.5,01-02 km
0xd8f3,LUDHRES03DEL01,20.0,4.7,30.88722,75.804893,30.89722,75.814893,,,,Sandstorms,Low,2,Meal,scooter,0.0,No,Urban,12,1.4652416016159377,<25,>4.5,01-02 km
0xce11,LUDHRES03DEL01,20.0,4.8,30.88722,75.804893,30.89722,75.814893,,,,Stormy,Low,2,Buffet,scooter,1.0,No,Metropolitian,13,1.4652416016159377,<25,>4.5,01-02 km
0xceae,LUDHRES20DEL01,20.0,4.6,30.885915,75.788259,30.895915,75.798259,,,,Fog,Low,1,Meal,motorcycle,1.0,No,Metropolitian,15,1.4652500694886232,<25,>4.5,01-02 km
0xd2c5,LUDHRES20DEL01,34.0,4.9,30.885915,75.788259,30.895915,75.798259,,,,Stormy,High,2,Snack,scooter,1.0,No,Metropolitian,29,1.4652500694886232,25-34,>4.5,01-02 km
0xe06a,LUDHRES20DEL01,39.0,4.6,30.885915,75.788259,30.895915,75.798259,2022-11-02,,,Windy,Low,2,Drinks,scooter,1.0,No,Metropolitian,25,1.4652500694886232,35-44,>4.5,01-02 km
0xd825,LUDHRES20DEL01,29.0,4.1,30.885915,75.788259,30.895915,75.798259,,,,Windy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,21,1.4652500694886232,25-34,3.6–4.5,01-02 km
0xdc13,LUDHRES09DEL01,32.0,4.5,30.885814,75.786976,30.895814,75.796976,2022-11-02,,,Sandstorms,Low,2,Drinks,motorcycle,0.0,No,Metropolitian,21,1.4652507248457556,25-34,3.6–4.5,01-02 km
0xd8f5,LUDHRES09DEL01,34.0,4.7,30.885814,75.786976,30.895814,75.796976,,,,Cloudy,Low,1,Buffet,motorcycle,1.0,No,Urban,18,1.4652507248457556,25-34,>4.5,01-02 km
0xd10c,LUDHRES09DEL01,39.0,4.8,30.885814,75.786976,30.895814,75.796976,,,,Stormy,Low,1,Meal,scooter,0.0,No,Metropolitian,22,1.4652507248457556,35-44,>4.5,01-02 km
0xd8c6,LUDHRES09DEL01,36.0,5.0,30.885814,75.786976,30.895814,75.796976,,,,Stormy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,24,1.4652507248457556,35-44,>4.5,01-02 km
0xc5df,LUDHRES01DEL01,36.0,4.8,30.873988,75.842739,30.883988,75.852739,,,,Fog,High,2,Meal,motorcycle,1.0,No,Metropolitian,37,1.4653274494287283,35-44,>4.5,01-02 km
0xc6c1,LUDHRES01DEL01,26.0,4.9,30.873988,75.842739,30.883988,75.852739,,,,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,17,1.4653274494287283,25-34,>4.5,01-02 km
0xdcdd,LUDHRES01DEL01,38.0,4.8,30.873988,75.842739,30.883988,75.852739,2022-11-02,,,Cloudy,High,1,Drinks,scooter,1.0,No,Metropolitian,28,1.4653274494287283,35-44,>4.5,01-02 km
0xdbb6,DEHRES19DEL01,38.0,4.6,30.372202,78.077151,30.382202,78.087151,2022-11-02,,,Windy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,22,1.468563433271798,35-44,>4.5,01-02 km
0xdcb1,DEHRES19DEL01,30.0,4.7,30.372202,78.077151,30.382202,78.087151,,,,Stormy,High,1,Meal,scooter,0.0,No,Urban,31,1.468563433271798,25-34,>4.5,01-02 km
0xddcf,DEHRES13DEL01,23.0,4.5,30.366322,78.070453,30.376322,78.080453,,,,Fog,High,0,Snack,motorcycle,0.0,No,Metropolitian,29,1.4686011256508895,<25,3.6–4.5,01-02 km
0xc5b7,DEHRES13DEL01,27.0,4.6,30.366322,78.070453,30.376322,78.080453,2022-11-02,,,Cloudy,Low,2,Drinks,scooter,0.0,No,Metropolitian,14,1.4686011256508895,25-34,>4.5,01-02 km
0xdcfe,DEHRES07DEL01,21.0,4.4,30.362686,78.06889,30.372686,78.07889,,,,Cloudy,High,2,Drinks,scooter,0.0,No,Metropolitian,34,1.4686244307352296,<25,3.6–4.5,01-02 km
0xe178,DEHRES07DEL01,35.0,4.6,30.362686,78.06889,30.372686,78.07889,,,,Windy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,27,1.4686244307352296,25-34,>4.5,01-02 km
0xcec8,DEHRES06DEL01,30.0,4.7,30.361281,78.068022,30.371281,78.078022,,,,Cloudy,High,1,Drinks,scooter,2.0,No,Metropolitian,38,1.4686334355939885,25-34,>4.5,01-02 km
0xde6c,DEHRES06DEL01,30.0,4.5,30.361281,78.068022,30.371281,78.078022,2022-11-02,,,Stormy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,22,1.4686334355939885,25-34,3.6–4.5,01-02 km
0xc1ef,DEHRES06DEL01,25.0,5.0,30.361281,78.068022,30.371281,78.078022,,,,Sunny,Low,2,Buffet,scooter,1.0,No,Metropolitian,16,1.4686334355939885,<25,>4.5,01-02 km
0xd56b,DEHRES08DEL01,31.0,5.0,30.359722,78.067079,30.369722,78.077079,,,,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,25,1.468643427107676,25-34,>4.5,01-02 km
0xd456,DEHRES08DEL01,23.0,4.7,30.359722,78.067079,30.369722,78.077079,,,,Cloudy,High,1,Drinks,scooter,0.0,No,Metropolitian,33,1.468643427107676,<25,>4.5,01-02 km
0xd266,DEHRES05DEL01,27.0,4.5,30.346994,78.062543,30.356994,78.072543,,,,Stormy,Low,1,Snack,motorcycle,0.0,No,Metropolitian,13,1.4687249859622196,25-34,3.6–4.5,01-02 km
0xcefe,DEHRES05DEL01,32.0,4.3,30.346994,78.062543,30.356994,78.072543,,,,Sandstorms,High,0,Drinks,motorcycle,1.0,No,Metropolitian,41,1.4687249859622196,25-34,3.6–4.5,01-02 km
0xdf42,DEHRES05DEL01,29.0,4.9,30.346994,78.062543,30.356994,78.072543,,,,Sunny,Low,2,Meal,scooter,1.0,No,Metropolitian,19,1.4687249859622196,25-34,>4.5,01-02 km
0xd37c,DEHRES05DEL01,22.0,4.8,30.346994,78.062543,30.356994,78.072543,2022-11-02,,,Sandstorms,Low,1,Meal,scooter,1.0,No,Metropolitian,12,1.4687249859622196,<25,>4.5,01-02 km
0xd8ee,DEHRES16DEL01,31.0,4.5,30.342509,78.061187,30.352509,78.071187,,,,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,27,1.4687537191562712,25-34,3.6–4.5,01-02 km
0xe119,DEHRES16DEL01,21.0,4.7,30.342509,78.061187,30.352509,78.071187,,,,Fog,High,2,Meal,scooter,0.0,No,Metropolitian,24,1.4687537191562712,<25,>4.5,01-02 km
0xd728,DEHRES04DEL01,24.0,4.6,30.340722,78.060221,30.350722,78.070221,,,,Stormy,High,2,Meal,electric_scooter,1.0,No,Metropolitian,17,1.4687651667291866,<25,>4.5,01-02 km
0xe257,DEHRES04DEL01,23.0,4.8,30.340722,78.060221,30.350722,78.070221,,,,Sunny,Low,0,Meal,motorcycle,0.0,No,Metropolitian,17,1.4687651667291866,<25,>4.5,01-02 km
0xd81b,DEHRES04DEL01,27.0,5.0,30.340722,78.060221,30.350722,78.070221,2022-11-02,,,Fog,High,1,Meal,scooter,0.0,No,Metropolitian,34,1.4687651667291866,25-34,>4.5,01-02 km
0xd698,DEHRES04DEL01,39.0,4.9,30.340722,78.060221,30.350722,78.070221,,,,Sandstorms,Low,1,Snack,scooter,1.0,No,Metropolitian,20,1.4687651667291866,35-44,>4.5,01-02 km
0xc7af,DEHRES03DEL01,31.0,4.0,30.335259,78.053162,30.345259,78.063162,,,,Cloudy,High,2,Drinks,motorcycle,1.0,No,Metropolitian,38,1.468800159821125,25-34,3.6–4.5,01-02 km
0xc55a,DEHRES03DEL01,28.0,5.0,30.335259,78.053162,30.345259,78.063162,2022-11-02,,,Cloudy,Low,1,Snack,scooter,1.0,No,Urban,17,1.468800159821125,25-34,>4.5,01-02 km
0xcaa5,DEHRES03DEL01,23.0,5.0,30.335259,78.053162,30.345259,78.063162,,,,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Urban,19,1.468800159821125,<25,>4.5,01-02 km
0xc3a4,DEHRES09DEL01,32.0,4.8,30.332735,78.054222,30.342735,78.064222,,,,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,29,1.4688163256853812,25-34,>4.5,01-02 km
0xe04c,DEHRES09DEL01,32.0,4.3,30.332735,78.054222,30.342735,78.064222,,,,Stormy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,1.4688163256853812,25-34,3.6–4.5,01-02 km
0xd3bb,DEHRES09DEL01,27.0,4.5,30.332735,78.054222,30.342735,78.064222,,,,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,15,1.4688163256853812,25-34,3.6–4.5,01-02 km
0xe254,DEHRES09DEL01,21.0,4.5,30.332735,78.054222,30.342735,78.064222,2022-11-02,,,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,17,1.4688163256853812,<25,3.6–4.5,01-02 km
0xc79f,DEHRES010DEL01,27.0,4.8,30.328174,78.049117,30.338174,78.059117,,,,Fog,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,19,1.4688455357648884,25-34,>4.5,01-02 km
0xcf8e,DEHRES010DEL01,25.0,5.0,30.328174,78.049117,30.338174,78.059117,2022-11-02,,,Cloudy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,16,1.4688455357648884,<25,>4.5,01-02 km
0xe108,DEHRES010DEL01,28.0,4.8,30.328174,78.049117,30.338174,78.059117,,,,Sandstorms,Low,1,Snack,motorcycle,0.0,No,Metropolitian,14,1.4688455357648884,25-34,>4.5,01-02 km
0xe12c,DEHRES010DEL01,35.0,4.8,30.328174,78.049117,30.338174,78.059117,,,,Sunny,High,0,Snack,motorcycle,1.0,No,Metropolitian,27,1.4688455357648884,25-34,>4.5,01-02 km
0xd811,DEHRES17DEL01,37.0,5.0,30.327968,78.046106,30.337968,78.056106,,,,Sunny,Low,1,Snack,motorcycle,1.0,No,Metropolitian,16,1.468846854978912,35-44,>4.5,01-02 km
0xe078,DEHRES17DEL01,32.0,4.7,30.327968,78.046106,30.337968,78.056106,,,,Sunny,Low,1,Drinks,scooter,1.0,No,Urban,16,1.468846854978912,25-34,>4.5,01-02 km
0xd60e,DEHRES14DEL01,21.0,4.5,30.319528,78.040267,30.329528,78.050267,,,,Fog,Low,0,Snack,motorcycle,0.0,No,Urban,19,1.4689008987050616,<25,3.6–4.5,01-02 km
0xd951,DEHRES14DEL01,35.0,4.6,30.319528,78.040267,30.329528,78.050267,,,,Stormy,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,27,1.4689008987050616,25-34,>4.5,01-02 km
0xcb45,AGRRES05DEL01,27.0,4.6,27.201725,78.007553,27.211725,78.017553,2022-11-02,,,Stormy,Low,2,Drinks,scooter,0.0,No,Metropolitian,16,1.4880881137151147,25-34,>4.5,01-02 km
0xe259,AGRRES04DEL01,33.0,4.7,27.195928,77.998092,27.205928,78.008092,,,,Cloudy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,25,1.4881222937797471,25-34,>4.5,01-02 km
0xcf93,AGRRES04DEL01,34.0,4.9,27.195928,77.998092,27.205928,78.008092,,,,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,18,1.4881222937797471,25-34,>4.5,01-02 km
0xda23,AGRRES12DEL01,21.0,4.6,27.165108,78.015053,27.175108,78.025053,2022-11-02,,,Cloudy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,21,1.488303917226356,<25,>4.5,01-02 km
0xd888,AGRRES12DEL01,23.0,4.1,27.165108,78.015053,27.175108,78.025053,,,,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,29,1.488303917226356,<25,3.6–4.5,01-02 km
0xc585,AGRRES12DEL01,26.0,4.9,27.165108,78.015053,27.175108,78.025053,,,,Cloudy,Low,2,Drinks,scooter,0.0,No,Metropolitian,10,1.488303917226356,25-34,>4.5,01-02 km
0xc148,AGRRES11DEL01,24.0,4.1,27.163303,78.057044,27.173303,78.067044,,,,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Urban,16,1.4883145491309553,<25,3.6–4.5,01-02 km
0xe0d2,AGRRES010DEL01,25.0,5.0,27.163303,78.057044,27.173303,78.067044,,,,Windy,Low,1,Meal,scooter,0.0,No,Metropolitian,19,1.4883145491309553,<25,>4.5,01-02 km
0xcff4,AGRRES010DEL01,38.0,5.0,27.163303,78.057044,27.173303,78.067044,,,,Sunny,High,0,Meal,motorcycle,1.0,No,Metropolitian,23,1.4883145491309553,35-44,>4.5,01-02 km
0xc4bf,AGRRES11DEL01,29.0,4.9,27.163303,78.057044,27.173303,78.067044,,,,Fog,Low,1,Snack,motorcycle,1.0,No,Urban,17,1.4883145491309553,25-34,>4.5,01-02 km
0xdaa2,AGRRES010DEL01,34.0,4.5,27.163303,78.057044,27.173303,78.067044,2022-11-02,,,Fog,Low,0,Meal,motorcycle,0.0,No,Metropolitian,23,1.4883145491309553,25-34,3.6–4.5,01-02 km
0xcc08,AGRRES11DEL01,22.0,4.6,27.163303,78.057044,27.173303,78.067044,,,,Sandstorms,High,1,Buffet,motorcycle,0.0,No,Urban,20,1.4883145491309553,<25,>4.5,01-02 km
0xd243,AGRRES11DEL01,32.0,4.9,27.163303,78.057044,27.173303,78.067044,2022-11-02,,,Windy,Low,2,Meal,scooter,0.0,No,Metropolitian,21,1.4883145491309553,25-34,>4.5,01-02 km
0xd1d2,AGRRES14DEL01,25.0,4.7,27.16185,78.040165,27.17185,78.050165,,,,Windy,Low,2,Meal,motorcycle,1.0,No,Urban,17,1.4883231072639647,<25,>4.5,01-02 km
0xdf21,AGRRES14DEL01,29.0,4.9,27.16185,78.040165,27.17185,78.050165,,,,Sandstorms,Low,1,Drinks,scooter,1.0,No,Urban,13,1.4883231072639647,25-34,>4.5,01-02 km
0xc403,AGRRES14DEL01,27.0,4.9,27.16185,78.040165,27.17185,78.050165,,,,Cloudy,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,10,1.4883231072639647,25-34,>4.5,01-02 km
0xd8aa,AGRRES18DEL01,35.0,4.6,27.161694,78.034714,27.171694,78.044714,2022-11-02,,,Cloudy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,19,1.4883240260793253,25-34,>4.5,01-02 km
0xd08e,AGRRES18DEL01,38.0,4.7,27.161694,78.034714,27.171694,78.044714,,,,Windy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,22,1.4883240260793253,35-44,>4.5,01-02 km
0xd4f5,AGRRES18DEL01,24.0,4.8,27.161694,78.034714,27.171694,78.044714,,,,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,21,1.4883240260793253,<25,>4.5,01-02 km
0xda4c,AGRRES01DEL01,23.0,4.8,27.161661,78.011544,27.171661,78.021544,,,,Cloudy,Low,2,Drinks,scooter,0.0,No,Metropolitian,17,1.4883242204430953,<25,>4.5,01-02 km
0xd08b,AGRRES08DEL01,20.0,4.8,27.160934,78.044095,27.170934,78.054095,,,,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,24,1.4883285022949022,<25,>4.5,01-02 km
0xcd8e,AGRRES07DEL01,34.0,4.9,27.160934,78.044095,27.170934,78.054095,2022-11-02,,,Sunny,Low,2,Drinks,scooter,0.0,No,Urban,19,1.4883285022949022,25-34,>4.5,01-02 km
0xda34,AGRRES08DEL01,25.0,5.0,27.160934,78.044095,27.170934,78.054095,,,,Fog,High,0,Snack,motorcycle,1.0,No,Metropolitian,29,1.4883285022949022,<25,>4.5,01-02 km
0xcb30,AGRRES08DEL01,22.0,4.3,27.160934,78.044095,27.170934,78.054095,2022-11-02,,,Windy,Low,0,Drinks,motorcycle,0.0,No,Urban,27,1.4883285022949022,<25,3.6–4.5,01-02 km
0xc79b,AGRRES07DEL01,24.0,4.8,27.160934,78.044095,27.170934,78.054095,,,,Stormy,High,0,Meal,motorcycle,0.0,No,Urban,24,1.4883285022949022,<25,>4.5,01-02 km
0xd400,AGRRES03DEL01,30.0,4.9,27.160832,78.011608,27.170832,78.021608,2022-11-02,,,Sunny,Low,1,Snack,scooter,1.0,No,Metropolitian,13,1.4883291030438521,25-34,>4.5,01-02 km
0xd078,AGRRES03DEL01,20.0,4.3,27.160832,78.011608,27.170832,78.021608,,,,Stormy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,20,1.4883291030438521,<25,3.6–4.5,01-02 km
0xe18a,AGRRES03DEL01,34.0,5.0,27.160832,78.011608,27.170832,78.021608,,,,Sandstorms,High,0,Buffet,motorcycle,1.0,No,Metropolitian,41,1.4883291030438521,25-34,>4.5,01-02 km
0xd314,AGRRES13DEL01,23.0,4.6,27.159795,78.04299,27.169795,78.05299,,,,Fog,High,2,Buffet,electric_scooter,1.0,No,Metropolitian,30,1.4883352105446686,<25,>4.5,01-02 km
0xda94,AGRRES13DEL01,28.0,5.0,27.159795,78.04299,27.169795,78.05299,,,,Fog,High,1,Snack,motorcycle,0.0,No,Metropolitian,26,1.4883352105446686,25-34,>4.5,01-02 km
0xc9d5,AGRRES20DEL01,39.0,4.8,27.158822,78.045359,27.168822,78.055359,,,,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,29,1.4883409409467787,35-44,>4.5,01-02 km
0xdb9f,AGRRES20DEL01,26.0,4.3,27.158822,78.045359,27.168822,78.055359,,,,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Metropolitian,20,1.4883409409467787,25-34,3.6–4.5,01-02 km
0xdbde,AGRRES20DEL01,21.0,4.9,27.158822,78.045359,27.168822,78.055359,2022-11-02,,,Sunny,Low,1,Snack,motorcycle,1.0,No,Metropolitian,24,1.4883409409467787,<25,>4.5,01-02 km
0xe0f7,AGRRES20DEL01,24.0,5.0,27.158822,78.045359,27.168822,78.055359,,,,Sandstorms,Low,1,Buffet,scooter,1.0,No,Urban,12,1.4883409409467787,<25,>4.5,01-02 km
0xbff0,AGRRES17DEL01,20.0,4.7,27.157772,78.04725,27.167772,78.05725,,,,Sandstorms,High,0,Buffet,motorcycle,1.0,No,Metropolitian,27,1.488347124650747,<25,>4.5,01-02 km
0xd6e2,AGRRES17DEL01,38.0,5.0,27.157772,78.04725,27.167772,78.05725,,,,Sunny,Low,0,Meal,motorcycle,0.0,No,Metropolitian,27,1.488347124650747,35-44,>4.5,01-02 km
